# Generated 2025/02/17 15:09:35 by OpenQuake Engine v3.16.0 and OpenQuake Integrated Risk Modelling Toolkit v3.16.3,,,,,,,,,,,,,,,,,,,,,,,
# poe = 0.02000,,,,,,,,,,,,,,,,,,,,,,,
# return_period = 2500,,,,,,,,,,,,,,,,,,,,,,,
lon,lat,mean_PGA,mean_SA(0.01),mean_SA(0.02),mean_SA(0.03),mean_SA(0.05),mean_SA(0.075),mean_SA(0.1),mean_SA(0.15),mean_SA(0.2),mean_SA(0.25),mean_SA(0.3),mean_SA(0.4),mean_SA(0.5),mean_SA(0.75),mean_SA(1.0),mean_SA(1.5),mean_SA(2.0),mean_SA(3.0),mean_SA(4.0),mean_SA(5.0),mean_SA(7.5),mean_SA(10.0)
-115.3567509,32.35725024,0.9908849,0.97668159,0.991776049,1.057636023,1.204540491,1.391510606,1.593019366,1.968851447,2.047044754,2.063567877,2.049982071,1.902338266,1.726486921,1.496416688,1.340667605,1.014650106,0.802496135,0.516200662,0.358270109,0.25713101,0.113030665,0.055951003
-115.3567702,32.35275363,1.002625585,0.988338172,1.003932953,1.070781469,1.218481779,1.402033806,1.604930997,1.982729673,2.051366091,2.068917751,2.057525635,1.92211175,1.74654007,1.515650511,1.358341455,1.030830503,0.817333698,0.525714338,0.364937395,0.261084557,0.114725724,0.056812402
-115.3567895,32.34825702,1.014466643,1.000171423,1.016311646,1.084367156,1.233027935,1.412678957,1.616904497,1.996828794,2.05562973,2.074213982,2.066247463,1.942970872,1.768007755,1.536503911,1.377559185,1.048538446,0.833681226,0.536196172,0.372283906,0.265421659,0.116583064,0.05775461
-115.3568088,32.34376041,1.026169181,1.01189971,1.0287292,1.098198891,1.248004436,1.422992229,1.628587723,2.011174679,2.05980587,2.081288099,2.075820446,1.965028405,1.790877104,1.558968782,1.398392439,1.067854524,0.851636827,0.547739863,0.380389392,0.270182818,0.118619092,0.058786787
-115.3560525,32.51912813,0.917408168,0.906847596,0.918990195,0.972909451,1.089840055,1.30988884,1.466480017,1.774425745,1.87386775,1.908749461,1.874757886,1.729980588,1.5731107,1.354382157,1.178353786,0.896123409,0.694454134,0.443850279,0.30543378,0.217860594,0.096021816,0.048477519
-115.356072,32.51463152,0.924785614,0.913752735,0.926346838,0.982061327,1.100541949,1.315339565,1.476063251,1.786221027,1.886342406,1.922022104,1.888865829,1.74418819,1.586912394,1.367328286,1.192678213,0.906348765,0.703259766,0.449448109,0.30929181,0.220641181,0.097178929,0.049022596
-115.3560914,32.51013491,0.932904899,0.921400785,0.934465826,0.991859674,1.111779451,1.321144581,1.486206174,1.798408508,1.899240136,1.935780644,1.903558612,1.759230494,1.601620197,1.381117821,1.208134651,0.917300105,0.71276015,0.455457389,0.313437134,0.223628893,0.098422132,0.049558058
-115.3561109,32.5056383,0.941531539,0.929581344,0.943147361,1.00201261,1.123277783,1.327270985,1.496677279,1.810747504,1.912309408,1.949751496,1.918507934,1.774724603,1.616844416,1.395384431,1.224266887,0.928684473,0.722675562,0.461721897,0.317759126,0.226742625,0.099719033,0.050112996
-115.3559745,32.53711456,0.897798061,0.887991011,0.898866534,0.947174728,1.056461096,1.293423891,1.438838601,1.736308217,1.833902717,1.866455674,1.830422163,1.686325669,1.5309093,1.311975837,1.134935498,0.862341881,0.667509675,0.426679701,0.293566376,0.209302455,0.092460796,0.046700407
-115.355994,32.53261795,0.901490808,0.89163214,0.902761042,0.952076554,1.063340902,1.296812177,1.444195032,1.74441123,1.842316031,1.875342965,1.839626789,1.695331693,1.539641142,1.322526097,1.143927097,0.870266795,0.67315048,0.43028453,0.296068549,0.211105019,0.093211599,0.047075368
-115.3560135,32.52812134,0.905672669,0.895696759,0.907088161,0.957552373,1.070799351,1.300452828,1.450174332,1.753035188,1.851299167,1.884819984,1.849499106,1.704975128,1.548923969,1.331597447,1.153469324,0.878234208,0.67909193,0.434071451,0.298691154,0.212994292,0.093998551,0.047467493
-115.356033,32.52362474,0.910979986,0.900778949,0.912501037,0.964566052,1.079726458,1.304838538,1.457633376,1.763165116,1.861952782,1.896090865,1.861348152,1.716631413,1.560180902,1.34221065,1.164990187,0.88656038,0.686222792,0.438612252,0.301821589,0.215255633,0.094936661,0.047936089
-115.3558965,32.55510099,0.888345778,0.878294468,0.888613105,0.934380889,1.037356019,1.271353126,1.423491359,1.712096453,1.808283329,1.839478135,1.802741051,1.65946579,1.505165458,1.28077209,1.108152986,0.838686287,0.650404394,0.415595859,0.285838664,0.203711942,0.090107344,0.045527399
-115.355916,32.55060438,0.889897943,0.879935145,0.890254498,0.936387539,1.04050827,1.275390744,1.42622745,1.7164855,1.813012481,1.84444344,1.80775702,1.664277077,1.509689212,1.286242127,1.112878084,0.842895031,0.653482437,0.417620718,0.287263244,0.204748869,0.090549193,0.045748234
-115.3559355,32.54610778,0.89206028,0.882183254,0.892587602,0.939308524,1.044979453,1.280776858,1.42987287,1.722299337,1.819176197,1.850924253,1.814382672,1.670672178,1.515802026,1.293657064,1.119237423,0.848515034,0.657570899,0.420275778,0.289120764,0.206093788,0.091116153,0.046030458
-115.355955,32.54161117,0.894673109,0.884848595,0.895421326,0.942881703,1.050282001,1.286949635,1.434077621,1.728901625,1.826141,1.858267784,1.82193923,1.67801404,1.522858024,1.302199006,1.12657392,0.854973316,0.662219882,0.42328462,0.291212827,0.207601503,0.091750026,0.046346754
-115.3558184,32.57308742,0.886217415,0.875963271,0.886337519,0.932630897,1.033775806,1.264604092,1.419268847,1.704278946,1.799198627,1.830040693,1.793505192,1.650694132,1.497220516,1.270744085,1.099149227,0.830351233,0.644018114,0.411165953,0.282591581,0.2013053,0.089055896,0.044996951
-115.355838,32.56859082,0.886327207,0.876095653,0.886461854,0.932455182,1.033692479,1.26529026,1.419536471,1.70519197,1.800426364,1.831338644,1.794740558,1.651869416,1.498233914,1.27216959,1.100535154,0.831717134,0.645112693,0.411970735,0.283198088,0.201767445,0.089262418,0.045102522
-115.3558575,32.56409421,0.88669014,0.87649858,0.886851311,0.932610273,1.034240127,1.266615748,1.420325279,1.706745982,1.802315474,1.833295703,1.79663372,1.653668046,1.499807119,1.274217725,1.102397203,0.833465755,0.646478415,0.412939698,0.283921301,0.202303693,0.089499176,0.045222551
-115.355877,32.5595976,0.88733983,0.877210617,0.887550235,0.933198929,1.035416245,1.268606305,1.421634555,1.709045768,1.804913163,1.835980892,1.799258232,1.656134963,1.502047062,1.276973724,1.104832292,0.8356933,0.648171484,0.414101452,0.284770906,0.202930108,0.089771859,0.045358997
-115.3563636,32.4471824,1.059159636,1.046275854,1.065201283,1.135028481,1.263711333,1.42610836,1.620157838,1.957038522,2.04630971,2.07495451,2.072535992,1.984500647,1.838686109,1.617478132,1.451898813,1.115838528,0.888604701,0.569286346,0.390772849,0.275906473,0.120264091,0.059295043
-115.356383,32.44268579,1.059474707,1.046619058,1.065523148,1.135205388,1.263513923,1.426893473,1.620838404,1.959331751,2.047416925,2.076345205,2.073842764,1.986117601,1.840522408,1.620092392,1.454686403,1.118785262,0.890936792,0.571391404,0.39205274,0.276882678,0.120711334,0.059523426
-115.3564024,32.43818918,1.054067492,1.041154861,1.05974102,1.128906012,1.256855011,1.4233042,1.617071509,1.956944704,2.045658827,2.073599815,2.070118189,1.976977229,1.829608798,1.608561158,1.44397676,1.108935237,0.883915007,0.565986693,0.389164895,0.274879664,0.119929843,0.059166014
